"284217"	"121275"	"3630"	"4982"	"2"	"3643"	"3645"	"4991"	"4992"	"4993"	"1000"	"2324"	"2323"	"2321"	"4985"	"3654"	"3655"	"3656"	"4988"	"3672"	"3673"	"55593"	"79541"	"79544"	"2335"	"1002"	"4994"	"4995"	"3667"	"3680"	"3681"	"3682"	"3683"	"3684"	"1022"	"1021"	"1020"	"1019"	"1017"	"3674"	"3675"	"3676"	"3678"	"3679"	"3690"	"3691"	"3693"	"3694"	"3695"	"1032"	"1031"	"1030"	"1029"	"1028"	"1027"	"1026"	"2357"	"3685"	"3687"	"3688"	"3689"	"3696"	"59082"	"25759"	"1075"	"85366"	"1081"	"440275"	"56832"	"403282"	"403284"	"255725"	"55534"	"207"	"9826"	"208"	"54205"	"196883"	"9844"	"8503"	"9855"	"79501"	"8516"	"8517"	"9846"	"8515"	"55558"	"7201"	"9863"	"23049"	"127385"	"11069"	"8536"	"8554"	"9894"	"343173"	"343172"	"343171"	"23035"	"268"	"343169"	"403277"	"403278"	"7248"	"403273"	"26999"	"8569"	"7253"	"7252"	"284"	"285"	"7249"	"7263"	"403253"	"403257"	"59067"	"8590"	"11009"	"26986"	"7272"	"403239"	"7297"	"7292"	"7294"	"50604"	"63923"	"50616"	"3702"	"258010"	"3716"	"3717"	"3718"	"3714"	"50649"	"3760"	"399694"	"54361"	"1101"	"79671"	"1111"	"3778"	"3779"	"3791"	"1132"	"1131"	"121130"	"79660"	"1129"	"1128"	"1143"	"1141"	"1139"	"1137"	"1136"	"1133"	"1154"	"1147"	"2475"	"50807"	"285659"	"2492"	"2488"	"283093"	"283092"	"25865"	"11221"	"85480"	"23216"	"55616"	"9901"	"84152"	"25847"	"338674"	"338675"	"340980"	"11200"	"8600"	"338662"	"11211"	"11213"	"284383"	"441669"	"441670"	"317"	"414062"	"324"	"79602"	"329"	"25805"	"9965"	"8631"	"330"	"331"	"54331"	"332"	"56998"	"8645"	"55671"	"7305"	"8651"	"8650"	"11186"	"392138"	"85409"	"355"	"356"	"358"	"8646"	"9978"	"8660"	"11197"	"23179"	"85407"	"369"	"6010"	"8674"	"6011"	"253260"	"374"	"375"	"6009"	"441639"	"382"	"387"	"11140"	"166824"	"8697"	"8698"	"394"	"396"	"397"	"398"	"25780"	"52"	"25791"	"60"	"441608"	"71"	"7398"	"23118"	"56920"	"56924"	"90"	"91"	"92"	"93"	"3804"	"3805"	"3802"	"6092"	"6091"	"6093"	"3815"	"3816"	"3817"	"3818"	"3811"	"3812"	"3821"	"3824"	"3845"	"260434"	"2520"	"260425"	"23191"	"2535"	"2534"	"2550"	"2549"	"1230"	"1237"	"1236"	"1235"	"1234"	"1233"	"1232"	"3897"	"338376"	"1272"	"1270"	"144124"	"144125"	"1268"	"219865"	"1286"	"1285"	"1284"	"1282"	"1281"	"1280"	"1278"	"1277"	"219858"	"219875"	"219874"	"219873"	"1297"	"219870"	"1293"	"1292"
"TCGA.RD.A8NB.01A"	"21"	"1"	"0"	"110"	"49591"	"4220"	"6"	"0"	"0"	"0"	"60"	"846"	"405"	"1886"	"1"	"10119"	"34673"	"1073"	"0"	"7386"	"4579"	"3359"	"99"	"0"	"148526"	"1"	"0"	"0"	"3878"	"671"	"5"	"1161"	"2587"	"806"	"732"	"7043"	"616"	"5282"	"1428"	"7"	"19892"	"2294"	"12670"	"2186"	"1095"	"32122"	"3128"	"4273"	"987"	"356"	"736"	"969"	"75"	"466"	"2184"	"6587"	"315"	"14615"	"1567"	"37444"	"4081"	"3011"	"0"	"574"	"7055"	"14"	"0"	"3375"	"0"	"0"	"0"	"1"	"1339"	"9333"	"5903"	"5013"	"9213"	"746"	"1942"	"2019"	"1510"	"0"	"56"	"887"	"1472"	"104"	"4112"	"0"	"347"	"15426"	"0"	"281"	"509"	"3029"	"1476"	"0"	"0"	"4"	"922"	"127"	"0"	"0"	"0"	"2610"	"0"	"2528"	"1590"	"8"	"4"	"469"	"492"	"5076"	"2510"	"0"	"0"	"8"	"0"	"10"	"102251"	"1322"	"0"	"4674"	"455"	"87"	"0"	"288"	"0"	"717"	"1279"	"15478"	"4400"	"2734"	"2222"	"194"	"28"	"138"	"40"	"6"	"1602"	"1101"	"5304"	"2552"	"1562"	"9"	"242"	"0"	"1739"	"391"	"2"	"46"	"10"	"12"	"2"	"649"	"6"	"937"	"1957"	"6932"	"3065"	"0"	"0"	"0"	"0"	"0"	"4227"	"1067"	"15"	"6218"	"724"	"457"	"12427"	"4720"	"0"	"0"	"1"	"583"	"129"	"0"	"36"	"689"	"0"	"0"	"0"	"2931"	"2"	"4414"	"3961"	"4418"	"458"	"1"	"328"	"5363"	"5863"	"1448"	"1169"	"1162"	"1085"	"5467"	"2682"	"858"	"5381"	"1363"	"0"	"101"	"2104"	"170"	"9554"	"370"	"2108"	"2202"	"0"	"1604"	"125"	"4111"	"0"	"897"	"0"	"3298"	"421"	"28589"	"1825"	"0"	"9062"	"33325"	"8019"	"2011"	"1447"	"205"	"9892"	"27209"	"5433"	"68"	"1011"	"3392"	"775"	"525311"	"0"	"192553"	"4078"	"7438"	"843"	"562"	"2178"	"2604"	"1387"	"672"	"22"	"72"	"19"	"46"	"4720"	"6992"	"493"	"25"	"0"	"12"	"40"	"49"	"58"	"385"	"5621"	"0"	"0"	"1842"	"10456"	"538"	"1630"	"868"	"1982"	"981"	"49"	"585"	"296"	"827"	"167"	"20"	"721"	"46"	"75"	"23"	"0"	"0"	"936"	"0"	"618"	"98"	"35880"	"30991"	"129536"	"0"	"121514"	"267821"	"0"	"0"	"0"	"0"	"56"	"0"	"57651"	"43341"
"TCGA.24.2254.01A"	"2508"	"1"	"0"	"381"	"15748"	"5586"	"6"	"1"	"58"	"5"	"11509"	"710"	"87"	"901"	"0"	"6738"	"3302"	"246"	"91"	"1196"	"574"	"3241"	"82"	"0"	"79522"	"13"	"1"	"1"	"2492"	"1511"	"16"	"398"	"312"	"975"	"472"	"1731"	"789"	"4545"	"1998"	"138"	"7406"	"593"	"2482"	"801"	"943"	"4012"	"5957"	"590"	"204"	"532"	"1601"	"1400"	"8450"	"1307"	"3124"	"2949"	"305"	"5518"	"1299"	"10855"	"9124"	"5132"	"0"	"1588"	"6761"	"35"	"0"	"2187"	"1"	"0"	"0"	"0"	"923"	"9390"	"3713"	"4397"	"1812"	"95"	"650"	"1658"	"593"	"0"	"47"	"915"	"7849"	"176"	"5928"	"3"	"474"	"4568"	"0"	"174"	"559"	"871"	"1749"	"0"	"1"	"33"	"524"	"80"	"0"	"0"	"0"	"3156"	"0"	"1939"	"1594"	"14"	"0"	"61"	"1037"	"6924"	"763"	"0"	"0"	"0"	"0"	"2"	"43618"	"803"	"0"	"5627"	"116"	"219"	"1"	"5"	"1"	"12"	"545"	"7056"	"459"	"597"	"1277"	"1027"	"2"	"16"	"390"	"72"	"1141"	"1006"	"1549"	"67"	"610"	"6"	"12"	"0"	"573"	"112"	"0"	"78"	"45"	"7"	"10"	"19"	"1"	"1006"	"726"	"2509"	"3438"	"0"	"4"	"0"	"0"	"0"	"1903"	"624"	"19"	"2468"	"1579"	"4205"	"522"	"4356"	"0"	"0"	"1"	"283"	"8"	"0"	"1278"	"352"	"0"	"0"	"0"	"767"	"4"	"828"	"1723"	"3502"	"1227"	"142"	"261"	"128"	"2002"	"577"	"713"	"1261"	"1402"	"3320"	"2633"	"461"	"2181"	"785"	"0"	"647"	"713"	"3"	"830"	"630"	"893"	"4179"	"17"	"3054"	"508"	"3279"	"15"	"614"	"11"	"1229"	"28"	"18898"	"2830"	"0"	"3517"	"22279"	"8334"	"47"	"999"	"26"	"4395"	"9812"	"3176"	"9"	"275"	"1896"	"816"	"158757"	"0"	"98858"	"3714"	"4750"	"84"	"836"	"1451"	"1147"	"662"	"1546"	"1"	"1"	"0"	"291"	"1600"	"2711"	"162"	"30"	"5"	"15"	"0"	"4"	"0"	"3"	"1997"	"0"	"0"	"838"	"6778"	"774"	"1399"	"4415"	"795"	"454"	"3"	"39"	"81"	"159"	"1"	"34"	"321"	"23"	"1375"	"22"	"0"	"0"	"207"	"0"	"156"	"81"	"16994"	"11117"	"48449"	"1342"	"89911"	"165878"	"0"	"0"	"0"	"0"	"186"	"0"	"26546"	"55867"
"TCGA.EO.A1Y5.01A"	"36"	"1"	"0"	"14"	"8688"	"773"	"4"	"0"	"0"	"0"	"140"	"571"	"205"	"688"	"0"	"4699"	"1851"	"174"	"0"	"280"	"31"	"8574"	"12"	"0"	"7714"	"1"	"0"	"0"	"281"	"31"	"6"	"357"	"513"	"304"	"227"	"250"	"467"	"3226"	"673"	"78"	"5951"	"145"	"1469"	"421"	"130"	"11328"	"3415"	"148"	"477"	"614"	"753"	"159"	"1336"	"3809"	"1673"	"653"	"66"	"1550"	"474"	"6005"	"3667"	"1916"	"0"	"844"	"3296"	"58"	"0"	"549"	"1"	"0"	"0"	"2"	"288"	"4180"	"940"	"3234"	"4642"	"98"	"548"	"719"	"207"	"0"	"4"	"650"	"1282"	"5"	"1287"	"0"	"45"	"1140"	"0"	"34"	"447"	"480"	"943"	"2"	"20"	"153"	"123"	"1"	"0"	"0"	"0"	"397"	"0"	"1482"	"598"	"20"	"0"	"12"	"350"	"2263"	"1542"	"0"	"0"	"0"	"0"	"9"	"27550"	"1106"	"0"	"2133"	"49"	"7"	"18"	"7"	"0"	"94"	"182"	"1550"	"109"	"833"	"981"	"224"	"0"	"5"	"297"	"6"	"457"	"393"	"183"	"99"	"329"	"0"	"61"	"0"	"276"	"1"	"78"	"13"	"4"	"5"	"9"	"8"	"0"	"384"	"346"	"1235"	"488"	"0"	"0"	"0"	"1"	"0"	"1849"	"200"	"3"	"1951"	"1490"	"472"	"830"	"1086"	"0"	"1"	"0"	"712"	"31"	"0"	"359"	"60"	"0"	"0"	"0"	"280"	"9"	"297"	"1755"	"819"	"130"	"0"	"214"	"377"	"1223"	"167"	"2276"	"1353"	"1425"	"1050"	"2092"	"230"	"1880"	"884"	"1"	"304"	"129"	"39"	"1388"	"232"	"1741"	"1404"	"2"	"192"	"77"	"9570"	"1"	"249"	"1"	"402"	"18"	"20158"	"1657"	"0"	"8452"	"14567"	"6415"	"10"	"1167"	"91"	"1608"	"8214"	"3562"	"14"	"124"	"1581"	"928"	"172184"	"0"	"92469"	"1498"	"1832"	"39"	"219"	"474"	"1169"	"248"	"267"	"5"	"15"	"6"	"10"	"352"	"915"	"12"	"441"	"24"	"1"	"7"	"0"	"31"	"35"	"1279"	"1"	"5"	"135"	"2911"	"830"	"923"	"311"	"199"	"188"	"11"	"92"	"47"	"265"	"11"	"2"	"4018"	"6"	"27"	"2"	"0"	"0"	"5"	"0"	"9"	"2"	"9875"	"4400"	"8810"	"95"	"10289"	"19734"	"0"	"1"	"0"	"0"	"172"	"0"	"3213"	"7667"
"TCGA.CG.4469.01A"	"35"	"7"	"0"	"523"	"21829"	"7635"	"3"	"0"	"7"	"1"	"146"	"428"	"97"	"2622"	"0"	"11582"	"41359"	"1553"	"0"	"2357"	"9716"	"2556"	"95"	"0"	"70989"	"3"	"0"	"0"	"862"	"286"	"17"	"530"	"639"	"698"	"2077"	"1925"	"971"	"4708"	"1683"	"7"	"9161"	"1464"	"4527"	"499"	"460"	"17936"	"5802"	"1909"	"115"	"371"	"426"	"555"	"167"	"76"	"2041"	"1968"	"1093"	"6682"	"1934"	"24174"	"2267"	"4552"	"0"	"681"	"9637"	"3"	"0"	"3762"	"2"	"0"	"0"	"0"	"1148"	"5026"	"4635"	"3398"	"14664"	"227"	"725"	"1804"	"2502"	"0"	"37"	"1467"	"1654"	"60"	"6820"	"1"	"244"	"16066"	"1"	"166"	"239"	"4286"	"921"	"0"	"0"	"2"	"736"	"284"	"0"	"0"	"0"	"2608"	"0"	"466"	"1652"	"3"	"0"	"114"	"1285"	"3283"	"2532"	"0"	"0"	"2"	"1"	"97"	"165494"	"2153"	"0"	"2274"	"143"	"88"	"2"	"19"	"1"	"159"	"1025"	"13037"	"1743"	"524"	"773"	"98"	"186"	"10"	"161"	"60"	"938"	"575"	"470"	"124"	"1925"	"4"	"59"	"0"	"3915"	"0"	"2"	"16"	"24"	"12"	"1"	"19"	"9"	"1122"	"2294"	"4542"	"3968"	"0"	"0"	"0"	"0"	"0"	"2250"	"1172"	"4"	"1347"	"604"	"145"	"9924"	"3686"	"0"	"2"	"0"	"853"	"142"	"0"	"35"	"740"	"0"	"0"	"0"	"2831"	"27"	"4155"	"3750"	"4379"	"43"	"4"	"642"	"1021"	"4833"	"1050"	"405"	"1492"	"1429"	"5192"	"3183"	"234"	"7237"	"1354"	"0"	"2"	"1036"	"41"	"8654"	"31"	"2106"	"3939"	"0"	"1246"	"5"	"2641"	"0"	"2005"	"1"	"3917"	"639"	"26432"	"2037"	"0"	"8749"	"37837"	"4557"	"3966"	"2352"	"36"	"10837"	"13058"	"4355"	"2"	"711"	"4555"	"792"	"236381"	"0"	"179116"	"3900"	"2970"	"139"	"471"	"1380"	"3324"	"959"	"956"	"2"	"51"	"4"	"34"	"1287"	"8076"	"223"	"703"	"6"	"6"	"4"	"2"	"45"	"40"	"5889"	"0"	"0"	"1850"	"9473"	"113"	"777"	"727"	"1934"	"1374"	"35"	"156"	"812"	"292"	"102"	"47"	"33"	"12"	"3"	"39"	"0"	"0"	"4"	"0"	"32"	"4"	"18576"	"33164"	"57732"	"0"	"50936"	"76481"	"0"	"0"	"0"	"0"	"9"	"0"	"19393"	"9549"
"TCGA.IE.A4EJ.01A"	"957"	"0"	"0"	"112"	"25703"	"4064"	"68"	"0"	"0"	"4"	"826"	"720"	"771"	"2851"	"0"	"13673"	"1211"	"159"	"0"	"981"	"74"	"6230"	"7"	"0"	"582136"	"567"	"0"	"0"	"1821"	"396"	"67"	"525"	"1262"	"838"	"1017"	"11230"	"509"	"3344"	"762"	"10"	"364"	"637"	"11757"	"2654"	"1481"	"400"	"9359"	"3"	"387"	"739"	"1275"	"1071"	"635"	"1869"	"2097"	"3685"	"607"	"5062"	"248"	"21988"	"5664"	"363"	"0"	"846"	"6663"	"15"	"0"	"2183"	"0"	"0"	"0"	"0"	"141"	"11380"	"3005"	"6035"	"4149"	"338"	"1839"	"1734"	"503"	"0"	"57"	"3643"	"2707"	"107"	"4425"	"0"	"638"	"4280"	"0"	"194"	"214"	"1278"	"1335"	"0"	"8"	"193"	"623"	"67"	"0"	"0"	"0"	"1659"	"0"	"641"	"1879"	"15"	"1"	"135"	"337"	"3312"	"481"	"0"	"0"	"0"	"0"	"6"	"20315"	"237"	"0"	"5192"	"639"	"56"	"0"	"37"	"0"	"243"	"367"	"11886"	"987"	"923"	"733"	"7"	"5"	"33"	"255"	"9"	"651"	"210"	"569"	"45"	"2476"	"3"	"2"	"0"	"909"	"1"	"0"	"6"	"1"	"1"	"19"	"11"	"5"	"496"	"589"	"3268"	"2770"	"0"	"0"	"0"	"0"	"0"	"2442"	"676"	"9"	"2370"	"9014"	"219"	"131"	"1831"	"0"	"0"	"0"	"494"	"1"	"0"	"36"	"622"	"0"	"0"	"0"	"2051"	"4"	"2632"	"2150"	"2329"	"299"	"0"	"117"	"367"	"6018"	"2526"	"353"	"1909"	"1415"	"1585"	"3474"	"644"	"1561"	"2058"	"0"	"506"	"337"	"121"	"9201"	"2740"	"1488"	"388"	"917"	"1845"	"17"	"3449"	"0"	"601"	"0"	"2086"	"1"	"8182"	"1573"	"0"	"4675"	"15771"	"6758"	"9"	"1497"	"109"	"3144"	"13426"	"4022"	"0"	"396"	"1321"	"221"	"239310"	"0"	"71306"	"1976"	"4335"	"446"	"20"	"2098"	"1606"	"472"	"226"	"5"	"33"	"10"	"51"	"1649"	"1991"	"4275"	"2"	"0"	"34"	"1"	"8"	"43"	"229"	"2404"	"0"	"0"	"424"	"4536"	"221"	"9366"	"260"	"616"	"1145"	"5"	"217"	"65"	"521"	"36"	"0"	"2409"	"3"	"5"	"97"	"0"	"0"	"33"	"0"	"220"	"21"	"21991"	"19600"	"388309"	"7"	"545949"	"576406"	"0"	"0"	"0"	"0"	"88"	"0"	"34803"	"122158"
"TCGA.BQ.5883.01A"	"9026"	"1"	"0"	"5848"	"42673"	"8051"	"1"	"0"	"0"	"8"	"13"	"2356"	"111"	"7221"	"0"	"11363"	"20346"	"635"	"0"	"4198"	"12349"	"3235"	"107"	"0"	"21483"	"1"	"0"	"3"	"1519"	"619"	"5"	"487"	"775"	"689"	"1178"	"4430"	"742"	"4357"	"868"	"5"	"77971"	"666"	"2496"	"701"	"736"	"6693"	"12017"	"29303"	"1579"	"218"	"221"	"515"	"18"	"344"	"2451"	"52560"	"290"	"14600"	"796"	"31466"	"2901"	"3835"	"0"	"1074"	"16376"	"0"	"0"	"3687"	"0"	"0"	"0"	"0"	"1036"	"11280"	"4837"	"14794"	"19738"	"289"	"599"	"7124"	"964"	"0"	"421"	"819"	"4270"	"17"	"1536"	"0"	"1167"	"5670"	"0"	"573"	"661"	"1392"	"1507"	"0"	"0"	"0"	"1227"	"0"	"0"	"0"	"0"	"3912"	"0"	"28735"	"1161"	"6"	"0"	"774"	"162"	"4479"	"3560"	"0"	"0"	"0"	"0"	"2"	"36204"	"12"	"0"	"2745"	"91"	"30"	"1"	"11"	"0"	"117"	"2933"	"31883"	"1548"	"343"	"926"	"34"	"2302"	"7"	"93"	"72"	"2844"	"497"	"387"	"181"	"7759"	"11"	"402"	"0"	"5906"	"0"	"1"	"39"	"43"	"107"	"2"	"4"	"1"	"2905"	"2716"	"8298"	"2319"	"0"	"0"	"0"	"0"	"0"	"2734"	"192"	"186"	"13863"	"4322"	"1271"	"2013"	"4739"	"0"	"0"	"0"	"159"	"0"	"0"	"9"	"313"	"0"	"0"	"0"	"1262"	"9"	"3946"	"6117"	"3002"	"990"	"0"	"2287"	"1018"	"7253"	"637"	"10"	"1672"	"1049"	"4424"	"1060"	"800"	"5104"	"529"	"3"	"124"	"1765"	"25"	"2484"	"217"	"1703"	"3764"	"3"	"1323"	"28"	"5821"	"1"	"1179"	"1"	"2078"	"266"	"29608"	"2949"	"0"	"7585"	"24831"	"6710"	"2691"	"2273"	"79"	"12974"	"13055"	"4860"	"0"	"1192"	"4232"	"177"	"182666"	"0"	"138445"	"2207"	"7211"	"1169"	"2526"	"3882"	"10045"	"1612"	"873"	"0"	"1"	"4"	"279"	"2717"	"4274"	"1165"	"145"	"1"	"19"	"3"	"0"	"6"	"24"	"4378"	"114"	"0"	"2438"	"12238"	"423"	"2675"	"272"	"3057"	"303"	"1"	"70"	"109"	"381"	"57"	"3"	"111902"	"0"	"519"	"19"	"0"	"0"	"826"	"0"	"23611"	"9552"	"36025"	"27266"	"17786"	"1"	"19071"	"14264"	"0"	"0"	"1"	"0"	"0"	"0"	"3520"	"5229"
"TCGA.KK.A8IH.01A"	"36"	"0"	"0"	"108"	"13093"	"2074"	"0"	"0"	"0"	"1"	"51"	"55"	"124"	"243"	"2"	"5066"	"2835"	"236"	"0"	"637"	"533"	"2574"	"2"	"0"	"10857"	"3"	"0"	"0"	"440"	"47"	"2"	"222"	"292"	"319"	"987"	"883"	"655"	"3165"	"603"	"4"	"1926"	"285"	"727"	"516"	"91"	"1862"	"2965"	"528"	"114"	"149"	"264"	"491"	"620"	"275"	"2002"	"4968"	"52"	"3320"	"198"	"8838"	"808"	"1444"	"0"	"2838"	"597"	"1"	"2"	"2830"	"2"	"0"	"0"	"0"	"1403"	"4461"	"1963"	"4771"	"3146"	"125"	"192"	"1937"	"856"	"0"	"200"	"752"	"487"	"39"	"2805"	"0"	"340"	"3211"	"0"	"193"	"930"	"294"	"2270"	"0"	"11"	"54"	"311"	"67"	"5"	"0"	"0"	"1597"	"0"	"1206"	"773"	"6"	"0"	"74"	"293"	"3120"	"1619"	"0"	"0"	"0"	"1"	"8"	"54680"	"64"	"0"	"3178"	"65"	"15"	"1"	"2"	"0"	"58"	"530"	"2579"	"299"	"227"	"348"	"739"	"6"	"12"	"299"	"2"	"1045"	"289"	"1094"	"428"	"233"	"4"	"456"	"0"	"2128"	"1"	"2053"	"2"	"6"	"4"	"3"	"25"	"4"	"204"	"724"	"1379"	"366"	"0"	"0"	"2"	"0"	"0"	"2326"	"413"	"22"	"1099"	"3201"	"841"	"14065"	"2410"	"0"	"0"	"0"	"191"	"7"	"0"	"120"	"85"	"0"	"0"	"0"	"511"	"2"	"867"	"2748"	"1774"	"337"	"0"	"80"	"886"	"1901"	"217"	"63"	"1380"	"80"	"2484"	"286"	"77"	"1854"	"926"	"0"	"57"	"104"	"4"	"2617"	"1086"	"1646"	"415"	"4"	"630"	"87"	"1814"	"1"	"361"	"1"	"1031"	"79"	"22047"	"1538"	"0"	"5825"	"11187"	"6377"	"600"	"908"	"47"	"2263"	"11651"	"5305"	"5"	"183"	"3136"	"340"	"77877"	"0"	"57458"	"976"	"3779"	"148"	"112"	"1303"	"1626"	"355"	"507"	"0"	"2"	"0"	"23"	"774"	"1745"	"85"	"17"	"172670"	"18"	"0"	"5"	"7"	"4"	"1142"	"9"	"0"	"917"	"5349"	"92"	"242"	"1337"	"383"	"55"	"13"	"135"	"76"	"87"	"30"	"0"	"40"	"3"	"188"	"118"	"0"	"0"	"46"	"0"	"180"	"125"	"4907"	"2962"	"10518"	"334"	"11896"	"10299"	"0"	"0"	"0"	"0"	"27"	"0"	"3657"	"5161"
"TCGA.B5.A11V.01A"	"402"	"2"	"0"	"1416"	"6090"	"2532"	"0"	"0"	"5"	"0"	"1193"	"222"	"67"	"1212"	"5"	"1578"	"2199"	"54"	"0"	"1124"	"658"	"1176"	"17"	"0"	"9237"	"12"	"1"	"0"	"1002"	"75"	"0"	"268"	"160"	"69"	"614"	"518"	"418"	"3980"	"679"	"259"	"1632"	"213"	"1120"	"131"	"98"	"2763"	"3193"	"462"	"240"	"90"	"81"	"473"	"60"	"1159"	"1032"	"5413"	"66"	"925"	"122"	"9911"	"477"	"780"	"0"	"87"	"2320"	"84"	"0"	"875"	"0"	"0"	"0"	"0"	"590"	"4029"	"1294"	"2654"	"2027"	"118"	"468"	"1642"	"294"	"0"	"32"	"354"	"354"	"90"	"676"	"1"	"29"	"2210"	"0"	"71"	"261"	"240"	"2067"	"0"	"2"	"4"	"161"	"114"	"0"	"0"	"0"	"627"	"0"	"735"	"494"	"1"	"0"	"36"	"638"	"3730"	"1629"	"0"	"0"	"0"	"0"	"3"	"46526"	"113"	"0"	"1507"	"64"	"51"	"12"	"24"	"0"	"19"	"267"	"1493"	"95"	"185"	"658"	"289"	"0"	"10"	"334"	"4"	"849"	"211"	"648"	"52"	"537"	"6"	"112"	"0"	"822"	"11"	"18"	"3"	"25"	"3"	"0"	"66"	"1"	"571"	"307"	"1580"	"809"	"0"	"0"	"0"	"0"	"0"	"1051"	"117"	"26"	"1622"	"375"	"430"	"842"	"960"	"0"	"1"	"0"	"268"	"128"	"0"	"1912"	"173"	"1"	"0"	"0"	"470"	"18"	"450"	"1719"	"693"	"2181"	"1168"	"140"	"117"	"1495"	"178"	"337"	"1884"	"356"	"1077"	"181"	"234"	"1590"	"544"	"0"	"512"	"242"	"27"	"1290"	"110"	"1355"	"224"	"5002"	"594"	"2016"	"922"	"1"	"230"	"0"	"426"	"62"	"16489"	"1374"	"0"	"2152"	"5985"	"4459"	"319"	"580"	"33"	"1230"	"6110"	"987"	"15"	"64"	"1879"	"70"	"101163"	"0"	"71157"	"500"	"1009"	"185"	"349"	"1261"	"1848"	"248"	"287"	"1"	"0"	"0"	"861"	"910"	"947"	"396"	"14"	"2"	"3"	"0"	"0"	"3"	"8"	"1279"	"1"	"2"	"202"	"2266"	"623"	"1011"	"572"	"318"	"64"	"4"	"38"	"18"	"53"	"8"	"9"	"9"	"0"	"860"	"3"	"0"	"0"	"4"	"0"	"20"	"9"	"15933"	"11163"	"14085"	"5522"	"24328"	"28636"	"1"	"0"	"1"	"0"	"127"	"0"	"4189"	"9511"
"TCGA.FG.A60L.01A"	"479"	"0"	"0"	"1"	"36363"	"1352"	"3"	"0"	"2"	"1"	"3023"	"152"	"679"	"1089"	"0"	"8583"	"1657"	"319"	"1"	"82"	"129"	"5191"	"2"	"3"	"7827"	"224"	"0"	"1"	"248"	"41"	"0"	"1329"	"480"	"951"	"306"	"1004"	"2173"	"6680"	"290"	"110"	"1103"	"16"	"733"	"7415"	"7"	"2718"	"3062"	"0"	"82"	"871"	"646"	"1004"	"590"	"1786"	"5329"	"2005"	"1225"	"6382"	"2315"	"3725"	"5203"	"2961"	"0"	"9232"	"1670"	"270"	"14"	"535"	"0"	"0"	"0"	"0"	"200"	"5815"	"853"	"5027"	"4021"	"203"	"3599"	"1168"	"541"	"0"	"0"	"1473"	"6041"	"94"	"2245"	"0"	"926"	"1783"	"0"	"2698"	"2231"	"138"	"2910"	"0"	"0"	"0"	"412"	"291"	"0"	"0"	"0"	"1699"	"0"	"3172"	"1790"	"154"	"3"	"106"	"57"	"4905"	"3639"	"0"	"0"	"0"	"0"	"1"	"24724"	"15"	"0"	"3293"	"61"	"6"	"0"	"38"	"0"	"17"	"673"	"7932"	"448"	"376"	"572"	"7791"	"17"	"260"	"43"	"6"	"1479"	"341"	"1142"	"229"	"403"	"36"	"1"	"0"	"282"	"1"	"161"	"0"	"284"	"7"	"1212"	"4"	"99"	"152"	"862"	"2112"	"1183"	"0"	"1"	"1"	"0"	"0"	"1494"	"256"	"12"	"1584"	"3818"	"1971"	"564"	"2767"	"0"	"0"	"0"	"159"	"0"	"0"	"7"	"507"	"0"	"0"	"0"	"683"	"385"	"2401"	"5756"	"2146"	"1567"	"0"	"6"	"99"	"2453"	"1652"	"238"	"2763"	"1"	"1677"	"5139"	"49"	"1044"	"2424"	"0"	"204"	"221"	"1"	"11971"	"934"	"3848"	"1804"	"12"	"2678"	"560"	"2682"	"2"	"1271"	"4"	"1432"	"1"	"11980"	"4364"	"0"	"2172"	"21717"	"7089"	"0"	"733"	"35"	"2225"	"15918"	"4170"	"1578"	"916"	"2330"	"714"	"182714"	"1"	"110706"	"1453"	"2597"	"498"	"88"	"773"	"778"	"594"	"782"	"0"	"1"	"0"	"259"	"584"	"873"	"226"	"0"	"0"	"46"	"1"	"0"	"1"	"2"	"840"	"1"	"3"	"471"	"6377"	"108"	"10896"	"11639"	"2166"	"370"	"1"	"2"	"6"	"55"	"0"	"0"	"132"	"2"	"1786"	"95"	"0"	"0"	"1134"	"0"	"67"	"38"	"640"	"271"	"142"	"12"	"730"	"237"	"0"	"0"	"0"	"0"	"50"	"1"	"20"	"750"
